county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
'Los Angeles',2020-04-19,3172,830,658,654,0,?,?,?,?,?,?,?,?
Madera,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Marin,2020-04-19,112,72,44,0,0,?,?,?,?,?,?,?,?
Mariposa,2020-04-19,44,3,0,0,0,?,?,?,?,?,?,?,?
Mendocino,2020-04-19,128,82,0,0,0,?,?,?,?,?,?,?,?
Merced,2020-04-19,10,0,0,0,0,?,?,?,?,?,?,?,?
Mono,2020-04-19,48,1,0,0,0,?,?,?,?,?,?,?,?
Modoc,2020-04-19,10,0,0,0,0,?,?,?,?,?,?,?,?
Monterey,2020-04-19,0,0,108,15,8,?,?,?,?,?,?,?,?
Napa,2020-04-19,104,47,18,0,0,?,?,?,?,?,?,?,?
Nevada,2020-04-19,27,0,0,0,0,?,?,?,?,?,?,?,?
Orange,2020-04-19,276,31,78,76,0,?,?,?,?,?,?,?,?
Placer,2020-04-19,15,15,0,0,0,?,?,?,?,?,?,?,?
Plumas,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Riverside,2020-04-19,422,303,15,15,0,?,?,?,?,?,?,?,?
Sacramento,2020-04-19,316,63,63,63,0,?,?,?,?,?,?,?,?
'San Benito',2020-04-19,67,48,3,0,0,?,?,?,?,?,?,?,?
'San Bernardino',2020-04-19,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-19,2029,409,45,45,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-19,1273,725,0,0,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-19,0,0,8,0,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-19,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-19,94,94,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-19,76,0,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-19,453,234,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-19,27,20,35,0,0,?,?,?,?,?,?,?,?
Shasta,2020-04-19,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-19,0,0,6,6,0,?,?,?,?,?,?,?,?
Solano,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-19,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-19,121,1,0,0,0,?,?,?,?,?,?,?,?
